source_id,trigger_type,enabled,required,path_type,update_cadence,freshness_sla_hours,last_success_at,last_materialized_at,age_hours,freshness_status,next_due_at,consecutive_failures,last_status
aafaf,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
act_toll_revenue,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
act_tolls_concession,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
act_transition_contracts,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
acuden_2024_transition,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ases_plan_vital,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
bde_loans,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
census_gov_finances,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
centinelas_pre_official_signals,on_drop,True,False,api_producer,on_drop,168.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
chip,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
cms_open_payments,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
cofina,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
compras_pr,schedule,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
congressional_earmarks,disabled,False,False,semantic_duplicate,yearly,0.0,,,,TERMINAL,,0,NEVER_RUN
contralor_electoral,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
cor3,schedule,True,True,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
crim_property_tax,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
dcaa_active_contractors,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ddec_incentives,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
doe_grants,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
doj_grants,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
doj_settlements,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
dol_whd_osha,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
donaciones_pr,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
dot_grants,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
dtop_road_contracts,file_drop,True,False,manual_export,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
dtop_vehicle_fees,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ed_grants,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
eia_power_sector,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
emma_bonds,schedule,True,True,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
emma_infra_revenue,dependency,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
epa_grants,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
eqb_epa_icis,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
equitable_sharing,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
estadisticas_pr_external_trade,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
exim_bank,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fcc_usf,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fdic,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fec,schedule,True,True,api_adapter,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fec_committees,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
federal_audit_clearinghouse,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fema_hmgp,schedule,True,False,api_adapter,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fema_individual_assistance,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fema_pa_openfema_v2,schedule,True,True,api_adapter,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fhlb,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
financialdata_net,manual,True,False,api_producer,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
follow_the_money,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fpds_report_builder,disabled,False,False,semantic_duplicate,quarterly,0.0,,,,TERMINAL,,0,NEVER_RUN
fred_timeseries,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
fsrs_subawards,disabled,False,True,semantic_duplicate,weekly,0.0,,,,TERMINAL,,0,NEVER_RUN
fta_ntd,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
gaming_commission,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
gao_ig_audits,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
gleif_lei,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
grants_gov,schedule,True,False,api_adapter,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
hacienda,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
hacienda_sut_ivu,disabled,False,False,scraper_needed,monthly,0.0,,,,DISABLED,,0,NEVER_RUN
haf,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
hhs_grants,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
highergov_supplemental,schedule,True,False,api_adapter,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
hud_cdbg_dr_public,schedule,True,True,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
hud_cdbg_mit,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
hud_drgr_authorized,file_drop,True,True,manual_export,monthly,840.0,,,,BLOCKED_MANUAL_INPUT,,0,NEVER_RUN
hud_hcv_section8,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
irs_ctc_eitc_pr,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
lda,schedule,True,True,api_adapter,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
legislapr_discovery,schedule,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
legislapr_sessions,dependency,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
legislative_canonical_sources,dependency,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
legislative_fiscal_link_candidates,dependency,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
lihtc,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
loteria_pr,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
medicaid_fmap,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
medicare_advantage,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
medicare_parts,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
msrb_rtrs_trades,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
municipal_finance,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
nara_catalog_aws_open_data,disabled,False,False,deferred_stub,ad_hoc,0.0,,,,TERMINAL,,0,NEVER_RUN
nara_nextgen_catalog_v3,disabled,False,False,deferred_stub,ad_hoc,0.0,,,,TERMINAL,,0,NEVER_RUN
ncua,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
nfip_claims,schedule,True,False,api_adapter,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ngo_integration_layer,dependency,True,False,api_producer,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
nih_reporter,schedule,True,False,api_adapter,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
nmtc,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
nonprofits_irs990,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
oatrh_payroll,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ocpr_contracts,schedule,True,False,api_producer,ad_hoc,336.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ofac_sdn,schedule,True,False,api_adapter,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
oficina_contralor,schedule,True,True,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ogpe_permits,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
oia_grants,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
opm_fedscope,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
opportunity_zones,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
osl_sutra_crosswalk,dependency,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
p3_authority,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ports_airports_contracts,file_drop,True,False,manual_export,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ports_airports_revenue,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
ports_authority,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
pr_act_154_excise,disabled,False,False,scraper_needed,monthly,0.0,,,,DISABLED,,0,NEVER_RUN
pr_act_60_decrees,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
pr_cabilderos,file_drop,True,True,manual_export,quarterly,2880.0,,,,BLOCKED_MANUAL_INPUT,,0,NEVER_RUN
pr_corporate_registry,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
pr_general_fund_revenues,schedule,True,False,api_producer,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
pr_income_tax_collections,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
pr_pensions,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prasa,file_drop,True,True,manual_export,yearly,9000.0,,,,BLOCKED_MANUAL_INPUT,,0,NEVER_RUN
prasa_cer,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prasa_cip,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prasa_completed_projects,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prasa_contracts_master,dependency,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prasa_rate_revenue,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prepa_luma_genera,schedule,True,False,api_producer,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prepa_luma_rate_revenue,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
promesa_creditors,manual,True,False,api_producer,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
prpha_housing_subsidy,file_drop,True,False,manual_export,ad_hoc,0.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
research_grants,schedule,True,False,api_adapter,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
rum_cover_over,schedule,True,False,api_producer,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sam_entities,schedule,True,True,api_adapter,monthly,1080.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sam_exclusions,schedule,True,False,api_producer,weekly,192.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sba_disaster_loans_pr,file_drop,True,False,manual_export,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sba_loans,schedule,True,False,api_adapter,quarterly,2400.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sba_ppp,schedule,True,False,api_adapter,yearly,9000.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
sbir,schedule,True,False,api_adapter,monthly,840.0,,,,NEVER_MATERIALIZED,,0,NEVER_RUN
